ID	reason	top1_stitle	length_aa	kinase_domain	efhand_domain	pfam_list
DhA03G014260.1	hard_remove_non_ppck	NA	240	1	0	PF00069,PF07714
DhA05G002270.1	hard_remove_non_ppck	NA	406	1	0	PF00069,PF07714
DhA05G004210.1	hard_remove_non_ppck	NA	280	1	0	PF00069,PF07714,PF14531
DhA22G016440.1	hard_remove_non_ppck	NA	301	1	0	PF00069,PF07714
DhA23G010770.1	hard_remove_non_ppck	NA	419	1	0	PF00069,PF03822,PF07714,PF14531
DhB05G004300.1	hard_remove_non_ppck	NA	280	1	0	PF00069,PF07714,PF14531
DhB22G015710.1	hard_remove_non_ppck	NA	279	1	0	PF00069,PF07714,PF14531
DhB23G010570.1	hard_remove_non_ppck	NA	416	1	0	PF00069,PF03822,PF07714,PF14531
