subject_id	best_seed	pident	align_len_merged_query	align_len_merged_subject	query_coverage	subject_coverage	evalue	bitscore	seed_len	protein_len	hsp_count
DhA01G002140.1	tr|A0A089WU92|A0A089WU92_KALFE	32.867	142	105	0.522	0.517	1.490e-14	72.0	272	203	1
DhA01G003860.1	tr|Q6K1R8|Q6K1R8_ORYSJ	26.818	212	210	0.682	0.283	1.040e-11	67.4	311	743	1
DhA01G004130.1	tr|Q6K1R8|Q6K1R8_ORYSJ	27.727	212	210	0.682	0.280	1.900e-11	66.6	311	751	1
DhA01G004360.1	tr|Q2ABR7|Q2ABR7_ORYSJ	26.818	212	210	0.726	0.684	1.040e-11	65.9	292	307	1
DhA01G004500.1	tr|Q2ABR6|Q2ABR6_ORYSJ	27.602	213	211	0.698	0.296	4.890e-11	65.1	305	714	1
DhA01G004610.1	tr|A0A089WU92|A0A089WU92_KALFE	29.218	228	230	0.838	0.341	2.250e-12	68.6	272	675	1
DhA01G004790.1	tr|Q2ABR7|Q2ABR7_ORYSJ	26.818	212	210	0.726	0.395	2.210e-11	65.9	292	531	1
DhA01G005640.1	sp|Q93VK0|PPCK2_ARATH	27.632	209	220	0.752	0.443	1.070e-11	66.2	278	497	1
DhA01G005650.1	tr|Q2ABR6|Q2ABR6_ORYSJ	26.697	212	209	0.695	0.315	7.420e-11	64.7	305	664	1
DhA01G006190.1	tr|Q2ABR7|Q2ABR7_ORYSJ	27.273	212	210	0.726	0.303	6.160e-11	64.7	292	692	1
DhA01G006440.1	tr|Q9S759|Q9S759_KALFE	29.952	199	201	0.726	0.255	9.010e-15	75.9	274	787	1
DhA01G006490.1	tr|Q2ABR7|Q2ABR7_ORYSJ	26.201	226	213	0.774	0.433	5.150e-13	70.5	292	492	1
DhA01G006690.1	tr|Q9S759|Q9S759_KALFE	28.788	191	192	0.697	0.244	1.930e-13	71.6	274	787	1
DhA01G008530.1	sp|Q9SPK4|PPCK1_ARATH	32.558	211	209	0.743	0.284	9.690e-17	81.6	284	735	1
DhA01G011740.1	tr|Q9S759|Q9S759_KALFE	29.293	189	195	0.690	0.367	3.470e-11	64.7	274	531	1
DhA01G015300.1	sp|Q9SPK4|PPCK1_ARATH	30.592	266	303	0.937	0.863	3.260e-28	112.0	284	351	1
DhA01G016260.1	tr|Q9S759|Q9S759_KALFE	26.160	209	226	0.763	0.683	2.070e-12	67.8	274	331	1
DhA01G016270.1	tr|A0A089WU92|A0A089WU92_KALFE	32.979	92	94	0.338	0.121	1.250e-11	66.2	272	780	1
DhA01G016410.1	sp|Q9SPK4|PPCK1_ARATH	38.043	90	91	0.317	0.125	7.610e-11	64.3	284	730	1
DhA01G016740.1	tr|Q9S759|Q9S759_KALFE	25.106	219	340	0.799	0.550	1.530e-11	65.9	274	618	2
DhA01G022580.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	30.233	203	195	0.690	0.213	1.240e-12	69.7	294	914	1
DhA01G023430.1	sp|Q93VK0|PPCK2_ARATH	26.059	267	300	0.960	0.554	1.850e-19	89.4	278	542	1
DhA01G024610.1	tr|Q9S759|Q9S759_KALFE	28.194	213	216	0.777	0.320	8.120e-19	87.8	274	675	1
DhA01G025260.1	tr|Q9S759|Q9S759_KALFE	30.093	202	209	0.737	0.215	8.600e-12	67.0	274	972	1
DhA01G025400.1	tr|A0A089WU92|A0A089WU92_KALFE	27.602	202	220	0.743	0.309	3.460e-15	77.0	272	713	1
DhA01G025410.1	tr|Q9S759|Q9S759_KALFE	25.911	223	239	0.814	0.344	5.540e-11	64.3	274	695	1
DhA01G025430.1	tr|A0A089WU92|A0A089WU92_KALFE	26.147	201	215	0.739	0.700	1.590e-13	70.9	272	307	1
DhA01G025480.1	sp|Q9SPK4|PPCK1_ARATH	30.682	175	159	0.616	0.136	1.110e-15	79.0	284	1170	1
DhA01G025520.1	sp|Q9SPK4|PPCK1_ARATH	30.502	253	249	0.891	0.169	3.970e-19	89.0	284	1475	1
DhA01G025550.1	tr|Q9S759|Q9S759_KALFE	28.889	202	220	0.737	0.276	2.690e-11	65.5	274	797	1
DhA01G026750.1	sp|Q9SPK4|PPCK1_ARATH	33.333	263	269	0.926	0.397	1.720e-31	124.0	284	678	1
DhA01G028780.1	tr|A0A089WU92|A0A089WU92_KALFE	41.573	262	264	0.963	0.517	1.300e-66	216.0	272	511	1
DhA01G029060.1	tr|Q5EC59|Q5EC59_MAIZE	25.616	202	195	0.706	0.333	2.280e-15	77.8	286	585	1
DhA01G030300.1	sp|Q93VK0|PPCK2_ARATH	35.802	157	157	0.565	0.243	2.150e-13	71.6	278	645	1
