ID	reason	top1_stitle
DhA01G021470.1	not_in_final_set	sp|A2YUL5|ARP2_ORYSI Actin-related protein 2 OS=Oryza sativa subsp. indica OX=39946 GN=ARP2 PE=3 SV=2
DhA02G023660.1	not_in_final_set	sp|Q5NBI2|ARP6_ORYSJ Actin-related protein 6 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP6 PE=2 SV=1
DhA02G028790.1	not_in_final_set	sp|A2ZP58|ARP5_ORYSJ Actin-related protein 5 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP5 PE=3 SV=2
DhA03G008520.1	not_in_final_set	sp|Q5NBI2|ARP6_ORYSJ Actin-related protein 6 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP6 PE=2 SV=1
DhA03G014320.1	not_in_final_set	sp|Q9SAF1|ARP3_ARATH Actin-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARP3 PE=1 SV=1
DhA04G023890.1	not_in_final_set	sp|Q7XR80|ARP8_ORYSJ Actin-related protein 8 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP8 PE=2 SV=1
DhA05G003470.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhA06G011190.1	not_in_final_set	sp|Q6K908|ARP3_ORYSJ Actin-related protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP3 PE=2 SV=1
DhA07G003890.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhA08G010930.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhA08G012380.1	not_in_final_set	sp|Q6K908|ARP3_ORYSJ Actin-related protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP3 PE=2 SV=1
DhA09G002440.1	not_in_final_set	sp|Q9SAF1|ARP3_ARATH Actin-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARP3 PE=1 SV=1
DhA09G002760.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhA11G001430.1	not_in_final_set	sp|Q7XR80|ARP8_ORYSJ Actin-related protein 8 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP8 PE=2 SV=1
DhA11G017510.1	not_in_final_set	sp|A2XQX0|ARP9_ORYSI Actin-related protein 9 OS=Oryza sativa subsp. indica OX=39946 GN=ARP9 PE=3 SV=2
DhA12G001210.1	not_in_final_set	sp|A2ZP58|ARP5_ORYSJ Actin-related protein 5 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP5 PE=3 SV=2
DhA13G015850.1	not_in_final_set	sp|A2XQX0|ARP9_ORYSI Actin-related protein 9 OS=Oryza sativa subsp. indica OX=39946 GN=ARP9 PE=3 SV=2
DhA15G010990.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhA21G013530.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhA21G013740.1	not_in_final_set	sp|Q9SAF1|ARP3_ARATH Actin-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARP3 PE=1 SV=1
DhA22G002850.1	not_in_final_set	sp|Q940Z2|ARP5_ARATH Actin-related protein 5 OS=Arabidopsis thaliana OX=3702 GN=ARP5 PE=1 SV=2
DhA22G017020.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhA26G010820.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhA26G011520.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhA27G007460.1	not_in_final_set	sp|A2YUL5|ARP2_ORYSI Actin-related protein 2 OS=Oryza sativa subsp. indica OX=39946 GN=ARP2 PE=3 SV=2
DhA29G001280.1	not_in_final_set	sp|A2YUL5|ARP2_ORYSI Actin-related protein 2 OS=Oryza sativa subsp. indica OX=39946 GN=ARP2 PE=3 SV=2
DhB02G023040.1	not_in_final_set	sp|Q5NBI2|ARP6_ORYSJ Actin-related protein 6 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP6 PE=2 SV=1
DhB02G027770.1	not_in_final_set	sp|A2ZP58|ARP5_ORYSJ Actin-related protein 5 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP5 PE=3 SV=2
DhB03G005740.1	not_in_final_set	sp|Q5NBI2|ARP6_ORYSJ Actin-related protein 6 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP6 PE=2 SV=1
DhB03G011270.1	not_in_final_set	sp|Q9SAF1|ARP3_ARATH Actin-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARP3 PE=1 SV=1
DhB04G023380.1	not_in_final_set	sp|Q7XR80|ARP8_ORYSJ Actin-related protein 8 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP8 PE=2 SV=1
DhB06G011560.1	not_in_final_set	sp|Q6K908|ARP3_ORYSJ Actin-related protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP3 PE=2 SV=1
DhB07G003870.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhB08G012030.1	not_in_final_set	sp|Q6K908|ARP3_ORYSJ Actin-related protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP3 PE=2 SV=1
DhB09G002230.1	not_in_final_set	sp|Q6K908|ARP3_ORYSJ Actin-related protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP3 PE=2 SV=1
DhB09G002550.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhB11G001460.1	not_in_final_set	sp|Q7XR80|ARP8_ORYSJ Actin-related protein 8 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP8 PE=2 SV=1
DhB11G016500.1	not_in_final_set	sp|A2XQX0|ARP9_ORYSI Actin-related protein 9 OS=Oryza sativa subsp. indica OX=39946 GN=ARP9 PE=3 SV=2
DhB12G001300.1	not_in_final_set	sp|A2ZP58|ARP5_ORYSJ Actin-related protein 5 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP5 PE=3 SV=2
DhB13G016440.1	not_in_final_set	sp|A2XQX0|ARP9_ORYSI Actin-related protein 9 OS=Oryza sativa subsp. indica OX=39946 GN=ARP9 PE=3 SV=2
DhB15G010900.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhB18G015210.1	not_in_final_set	sp|Q41558|HBP1C_WHEAT Transcription factor HBP-1b(c1) (Fragment) OS=Triticum aestivum OX=4565 PE=1 SV=2
DhB21G000230.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhB21G000410.1	not_in_final_set	sp|Q9SAF1|ARP3_ARATH Actin-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARP3 PE=1 SV=1
DhB22G016340.1	not_in_final_set	sp|A3ANB5|ARP7_ORYSJ Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
DhB25G012300.1	not_in_final_set	sp|Q940Z2|ARP5_ARATH Actin-related protein 5 OS=Arabidopsis thaliana OX=3702 GN=ARP5 PE=1 SV=2
DhB26G010980.1	not_in_final_set	sp|Q6ZJW9|ARP4_ORYSJ Actin-related protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP4 PE=2 SV=1
DhB27G007070.1	not_in_final_set	sp|A2YUL5|ARP2_ORYSI Actin-related protein 2 OS=Oryza sativa subsp. indica OX=39946 GN=ARP2 PE=3 SV=2
DhB29G001390.1	not_in_final_set	sp|A2YUL5|ARP2_ORYSI Actin-related protein 2 OS=Oryza sativa subsp. indica OX=39946 GN=ARP2 PE=3 SV=2
